factor,role,top_entry_frequency,control_frequency,top_entry_lift,median_365d_when_present,MAE_365d_when_present,timing,sample_size,confidence,status
deep_drawdown,VALUE,0.875,0.0,0.875,1.9108710672216516,-0.009633911368015502,EARLY,7,LOW,PROMISING
below_200d,VALUE,0.75,0.1,0.65,1.0526344949858717,-0.019354633628824947,EARLY,7,LOW,PROMISING
high_value,VALUE,0.625,0.0,0.625,1.7451953969273908,-0.019354633628824947,EARLY,5,LOW,PROMISING
extreme_drawdown,VALUE,0.5,0.0,0.5,1.8280332320745212,-0.011865236352899045,EARLY,4,LOW,PROMISING
daily_rsi_extreme,VALUE,0.375,0.0,0.375,0.6148676874087173,-0.19774899116119338,EARLY,3,LOW,PROMISING
capitulation,VALUE,0.375,0.0,0.375,0.6148676874087173,-0.19774899116119338,EARLY,3,LOW,PROMISING
below_200w,VALUE,0.375,0.0,0.375,1.7451953969273908,-0.019354633628824947,EARLY,3,LOW,PROMISING
oi_available,VALUE,0.375,0.0,0.375,1.0526344949858717,-0.009437272609747582,EARLY,3,LOW,INSUFFICIENT_DATA
weekly_rsi_extreme,VALUE,0.5,0.3,0.2,7.618684878732161,-0.059879248115321415,EARLY,7,LOW,PROMISING
major_support,TIMING,1.0,0.8,0.19999999999999996,1.2905680679548033,-0.08438533097848083,MID,16,LOW,PROMISING
negative_funding,VALUE,0.125,0.0,0.125,10.306098040695987,-0.019354633628824947,EARLY,1,LOW,INSUFFICIENT_DATA
below_weekly_bollinger,TIMING,0.125,0.1,0.024999999999999994,14.12943790923688,-0.035140279777375494,MID,2,LOW,CONTEXT_ONLY
fib_confluence,TIMING,0.0,0.0,0.0,,,MID,0,LOW,NO_ROBUST_VALUE
onchain_mvrv_below_1,VALUE,0.0,0.0,0.0,,,EARLY,0,LOW,NO_ROBUST_VALUE
holiday_window,VALUE,0.0,0.2,-0.2,-0.7244050065602539,-0.7571334801361873,EARLY,2,LOW,NO_ROBUST_VALUE
recovery_visible,TIMING,0.0,0.8,-0.8,0.2629734511677262,-0.29840765521209683,LATE,8,LOW,LATE_CONFIRMATION
